id,nome,cidade
1,Levi,Fortaleza
2,Manuela,Recife
3,Vitor,Curitiba
4,Marina,Fortaleza
5,Luigi,Belo Horizonte
6,Matheus,Curitiba
7,Emanuel,Curitiba
8,Larissa,Fortaleza
9,Ana Clara,Rio de Janeiro
10,Ana Vitória,Belo Horizonte
11,Bárbara,Fortaleza
12,Davi Lucca,Belo Horizonte
13,Kamilly,Belo Horizonte
14,Nicolas,Curitiba
15,Mariana,Recife
16,Luiz Fernando,Belo Horizonte
17,Evelyn,Salvador
18,Maria Eduarda,Curitiba
19,Juan,Rio de Janeiro
20,Felipe,Recife
21,Lívia,Salvador
22,Rodrigo,Salvador
23,Luiz Otávio,Rio de Janeiro
24,Marcos Vinicius,Recife
25,Isabelly,Curitiba
26,Sabrina,São Paulo
27,Laís,Recife
28,Lívia,Rio de Janeiro
29,Emilly,Salvador
30,Bruno,Curitiba
31,Alexia,Recife
32,Bárbara,São Paulo
33,Ana Sophia,São Paulo
34,Yasmin,Belo Horizonte
35,Isabel,Belo Horizonte
36,Vicente,Fortaleza
37,Beatriz,Rio de Janeiro
38,Matheus,Recife
39,Alice,Recife
40,Felipe,Fortaleza
41,Vitor Hugo,Salvador
42,Sofia,Salvador
43,Evelyn,Fortaleza
44,Maria Sophia,Salvador
45,Lívia,Belo Horizonte
46,Paulo,Recife
47,Maria Cecília,Fortaleza
48,Clara,Recife
49,Nicole,São Paulo
50,Henrique,Belo Horizonte
51,Kamilly,Curitiba
52,Caio,Belo Horizonte
53,Ana Carolina,Fortaleza
54,Ana Carolina,Curitiba
55,Lavínia,São Paulo
56,Ana Laura,Fortaleza
57,Caroline,Rio de Janeiro
58,Davi,Recife
59,Emanuella,São Paulo
60,Sabrina,Recife
61,Noah,Salvador
62,Antônio,Rio de Janeiro
63,Stephany,Rio de Janeiro
64,Lucas,São Paulo
65,Vicente,Rio de Janeiro
66,João,Curitiba
67,Cauê,Rio de Janeiro
68,Catarina,Recife
69,Luiz Otávio,Recife
70,Francisco,Fortaleza
71,Pedro Lucas,Recife
72,Fernanda,Fortaleza
73,João Pedro,Recife
74,Nicolas,Curitiba
75,Luiz Fernando,Fortaleza
76,Cauã,Belo Horizonte
77,Catarina,Salvador
78,Ana Beatriz,São Paulo
79,Luiz Felipe,Recife
80,Daniel,Rio de Janeiro
81,Benjamin,Recife
82,Pedro Lucas,Rio de Janeiro
83,Luiz Gustavo,Salvador
84,Luiz Gustavo,Salvador
85,Gabriela,Salvador
86,Evelyn,Rio de Janeiro
87,Julia,Recife
88,Isabelly,Salvador
89,Levi,Curitiba
90,João Guilherme,Fortaleza
91,Agatha,Rio de Janeiro
92,Kaique,Rio de Janeiro
93,Sabrina,Recife
94,Natália,Rio de Janeiro
95,Alexandre,Rio de Janeiro
